event_key,event_date,set_number,number_game,player_served,serve_winner,serve_lost,game_score,number_point,point_score,break_point,set_point,match_point,download_time
12097040,2026-01-16,Set 2,9,First Player,First Player,,5 - 4,1,15 - 0,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,9,First Player,First Player,,5 - 4,2,30 - 0,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,9,First Player,First Player,,5 - 4,3,40 - 0,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,9,First Player,First Player,,5 - 4,4,40 - 15,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,10,Second Player,Second Player,,5 - 5,1,0 - 15,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,10,Second Player,Second Player,,5 - 5,2,0 - 30,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,10,Second Player,Second Player,,5 - 5,3,15 - 30,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,10,Second Player,Second Player,,5 - 5,4,15 - 40,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,10,Second Player,Second Player,,5 - 5,5,30 - 40,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,11,First Player,First Player,,6 - 5,1,15 - 0,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,11,First Player,First Player,,6 - 5,2,30 - 0,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,11,First Player,First Player,,6 - 5,3,40 - 0,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,12,Second Player,Second Player,,6 - 6,1,0 - 15,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,12,Second Player,Second Player,,6 - 6,2,15 - 15,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,12,Second Player,Second Player,,6 - 6,3,15 - 30,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,12,Second Player,Second Player,,6 - 6,4,15 - 40,,,,2026-01-16 19:59:19
12097040,2026-01-16,Set 2,13,Second Player,First Player,Second Player,7 - 6,1, - ,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,1,Second Player,Second Player,,0 - 1,1,0 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,1,Second Player,Second Player,,0 - 1,2,0 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,1,Second Player,Second Player,,0 - 1,3,0 - 40,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,2,First Player,First Player,,1 - 1,1,15 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,2,First Player,First Player,,1 - 1,2,15 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,2,First Player,First Player,,1 - 1,3,30 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,2,First Player,First Player,,1 - 1,4,40 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,3,Second Player,Second Player,,1 - 2,1,15 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,3,Second Player,Second Player,,1 - 2,2,30 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,3,Second Player,Second Player,,1 - 2,3,30 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,3,Second Player,Second Player,,1 - 2,4,30 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,3,Second Player,Second Player,,1 - 2,5,30 - 40,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,4,First Player,Second Player,First Player,1 - 3,1,15 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,4,First Player,Second Player,First Player,1 - 3,2,30 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,4,First Player,Second Player,First Player,1 - 3,3,30 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,4,First Player,Second Player,First Player,1 - 3,4,30 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,4,First Player,Second Player,First Player,1 - 3,5,30 - 40,First Play,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,5,Second Player,Second Player,,1 - 4,1,15 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,5,Second Player,Second Player,,1 - 4,2,15 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,5,Second Player,Second Player,,1 - 4,3,30 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,5,Second Player,Second Player,,1 - 4,4,40 - 15,First Play,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,5,Second Player,Second Player,,1 - 4,5,40 - 30,First Play,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,5,Second Player,Second Player,,1 - 4,6,40 - 40,First Play,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,6,First Player,First Player,,2 - 4,1,15 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,6,First Player,First Player,,2 - 4,2,15 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,6,First Player,First Player,,2 - 4,3,30 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,6,First Player,First Player,,2 - 4,4,40 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,6,First Player,First Player,,2 - 4,5,40 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,7,Second Player,First Player,Second Player,3 - 4,1,15 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,7,Second Player,First Player,Second Player,3 - 4,2,15 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,7,Second Player,First Player,Second Player,3 - 4,3,30 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,7,Second Player,First Player,Second Player,3 - 4,4,30 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,7,Second Player,First Player,Second Player,3 - 4,5,40 - 30,First Play,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,8,First Player,Second Player,First Player,3 - 5,1,15 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,8,First Player,Second Player,First Player,3 - 5,2,15 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,8,First Player,Second Player,First Player,3 - 5,3,30 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,8,First Player,Second Player,First Player,3 - 5,4,30 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,8,First Player,Second Player,First Player,3 - 5,5,30 - 40,First Play,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,9,Second Player,Second Player,,3 - 6,1,0 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,9,Second Player,Second Player,,3 - 6,2,0 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,9,Second Player,Second Player,,3 - 6,3,15 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,9,Second Player,Second Player,,3 - 6,4,30 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 1,9,Second Player,Second Player,,3 - 6,5,30 - 40,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,1,First Player,First Player,,1 - 0,1,15 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,1,First Player,First Player,,1 - 0,2,15 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,1,First Player,First Player,,1 - 0,3,15 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,1,First Player,First Player,,1 - 0,4,15 - 40,First Play,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,1,First Player,First Player,,1 - 0,5,30 - 40,First Play,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,1,First Player,First Player,,1 - 0,6,40 - 40,First Play,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,2,Second Player,Second Player,,1 - 1,1,0 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,2,Second Player,Second Player,,1 - 1,2,0 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,2,Second Player,Second Player,,1 - 1,3,0 - 40,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,3,First Player,Second Player,First Player,1 - 2,1,15 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,3,First Player,Second Player,First Player,1 - 2,2,30 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,3,First Player,Second Player,First Player,1 - 2,3,30 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,3,First Player,Second Player,First Player,1 - 2,4,30 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,3,First Player,Second Player,First Player,1 - 2,5,40 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,3,First Player,Second Player,First Player,1 - 2,6,40 - 40,First Play,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,4,Second Player,First Player,Second Player,2 - 2,1,15 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,4,Second Player,First Player,Second Player,2 - 2,2,15 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,4,Second Player,First Player,Second Player,2 - 2,3,15 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,4,Second Player,First Player,Second Player,2 - 2,4,30 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,4,Second Player,First Player,Second Player,2 - 2,5,40 - 30,First Play,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,4,Second Player,First Player,Second Player,2 - 2,6,40 - 40,First Play,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,5,First Player,Second Player,First Player,2 - 3,1,15 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,5,First Player,Second Player,First Player,2 - 3,2,15 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,5,First Player,Second Player,First Player,2 - 3,3,15 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,5,First Player,Second Player,First Player,2 - 3,4,15 - 40,First Play,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,6,Second Player,First Player,Second Player,3 - 3,1,0 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,6,Second Player,First Player,Second Player,3 - 3,2,15 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,6,Second Player,First Player,Second Player,3 - 3,3,30 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,6,Second Player,First Player,Second Player,3 - 3,4,30 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,6,Second Player,First Player,Second Player,3 - 3,5,40 - 30,First Play,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,7,First Player,Second Player,First Player,3 - 4,1,0 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,7,First Player,Second Player,First Player,3 - 4,2,0 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,7,First Player,Second Player,First Player,3 - 4,3,0 - 40,First Play,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,8,Second Player,Second Player,,3 - 5,1,15 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,8,Second Player,Second Player,,3 - 5,2,15 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,8,Second Player,Second Player,,3 - 5,3,15 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,8,Second Player,Second Player,,3 - 5,4,30 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,8,Second Player,Second Player,,3 - 5,5,30 - 40,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,9,First Player,First Player,,4 - 5,1,15 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,9,First Player,First Player,,4 - 5,2,30 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,9,First Player,First Player,,4 - 5,3,30 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,9,First Player,First Player,,4 - 5,4,40 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,10,Second Player,Second Player,,4 - 6,1,15 - 0,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,10,Second Player,Second Player,,4 - 6,2,15 - 15,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,10,Second Player,Second Player,,4 - 6,3,15 - 30,,,,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,10,Second Player,Second Player,,4 - 6,4,15 - 40,,First Play,First Play,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,10,Second Player,Second Player,,4 - 6,5,30 - 40,,First Play,First Play,2026-01-16 19:59:19
12097052,2026-01-16,Set 2,10,Second Player,Second Player,,4 - 6,6,40 - 40,First Play,First Play,First Play,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,1,Second Player,Second Player,,0 - 1,1,0 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,1,Second Player,Second Player,,0 - 1,2,15 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,1,Second Player,Second Player,,0 - 1,3,15 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,1,Second Player,Second Player,,0 - 1,4,15 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,1,Second Player,Second Player,,0 - 1,5,30 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,2,First Player,Second Player,First Player,0 - 2,1,0 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,2,First Player,Second Player,First Player,0 - 2,2,0 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,2,First Player,Second Player,First Player,0 - 2,3,15 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,2,First Player,Second Player,First Player,0 - 2,4,15 - 40,First Play,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,2,First Player,Second Player,First Player,0 - 2,5,30 - 40,First Play,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,3,Second Player,Second Player,,0 - 3,1,0 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,3,Second Player,Second Player,,0 - 3,2,0 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,3,Second Player,Second Player,,0 - 3,3,0 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,3,Second Player,Second Player,,0 - 3,4,15 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,4,First Player,First Player,,1 - 3,1,0 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,4,First Player,First Player,,1 - 3,2,0 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,4,First Player,First Player,,1 - 3,3,0 - 40,First Play,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,4,First Player,First Player,,1 - 3,4,15 - 40,First Play,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,4,First Player,First Player,,1 - 3,5,30 - 40,First Play,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,4,First Player,First Player,,1 - 3,6,40 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,4,First Player,First Player,,1 - 3,7,A - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,5,Second Player,First Player,Second Player,2 - 3,1,0 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,5,Second Player,First Player,Second Player,2 - 3,2,15 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,5,Second Player,First Player,Second Player,2 - 3,3,15 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,5,Second Player,First Player,Second Player,2 - 3,4,15 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,5,Second Player,First Player,Second Player,2 - 3,5,30 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,5,Second Player,First Player,Second Player,2 - 3,6,40 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,5,Second Player,First Player,Second Player,2 - 3,7,40 - A,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,5,Second Player,First Player,Second Player,2 - 3,8,40 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,5,Second Player,First Player,Second Player,2 - 3,9,40 - A,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,5,Second Player,First Player,Second Player,2 - 3,10,40 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,5,Second Player,First Player,Second Player,2 - 3,11,A - 40,First Play,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,6,First Player,First Player,,3 - 3,1,0 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,6,First Player,First Player,,3 - 3,2,0 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,6,First Player,First Player,,3 - 3,3,15 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,6,First Player,First Player,,3 - 3,4,15 - 40,First Play,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,6,First Player,First Player,,3 - 3,5,30 - 40,First Play,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,6,First Player,First Player,,3 - 3,6,40 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,6,First Player,First Player,,3 - 3,7,A - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,7,Second Player,Second Player,,3 - 4,1,0 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,7,Second Player,Second Player,,3 - 4,2,0 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,7,Second Player,Second Player,,3 - 4,3,15 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,7,Second Player,Second Player,,3 - 4,4,30 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,7,Second Player,Second Player,,3 - 4,5,40 - 30,First Play,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,7,Second Player,Second Player,,3 - 4,6,40 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,7,Second Player,Second Player,,3 - 4,7,40 - A,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,8,First Player,First Player,,4 - 4,1,0 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,8,First Player,First Player,,4 - 4,2,15 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,8,First Player,First Player,,4 - 4,3,30 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,8,First Player,First Player,,4 - 4,4,40 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,9,Second Player,Second Player,,4 - 5,1,0 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,9,Second Player,Second Player,,4 - 5,2,0 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,9,Second Player,Second Player,,4 - 5,3,0 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,10,First Player,First Player,,5 - 5,1,15 - 0,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,10,First Player,First Player,,5 - 5,2,30 - 0,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,10,First Player,First Player,,5 - 5,3,40 - 0,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,11,Second Player,Second Player,,5 - 6,1,0 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,11,Second Player,Second Player,,5 - 6,2,0 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,11,Second Player,Second Player,,5 - 6,3,0 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,12,First Player,Second Player,First Player,5 - 7,1,15 - 0,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,12,First Player,Second Player,First Player,5 - 7,2,15 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,12,First Player,Second Player,First Player,5 - 7,3,15 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 1,12,First Player,Second Player,First Player,5 - 7,4,15 - 40,First Play,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,1,Second Player,Second Player,,0 - 1,1,0 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,1,Second Player,Second Player,,0 - 1,2,0 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,1,Second Player,Second Player,,0 - 1,3,0 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,2,First Player,First Player,,1 - 1,1,15 - 0,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,2,First Player,First Player,,1 - 1,2,30 - 0,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,2,First Player,First Player,,1 - 1,3,30 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,2,First Player,First Player,,1 - 1,4,30 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,2,First Player,First Player,,1 - 1,5,40 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,3,Second Player,Second Player,,1 - 2,1,15 - 0,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,3,Second Player,Second Player,,1 - 2,2,15 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,3,Second Player,Second Player,,1 - 2,3,15 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,3,Second Player,Second Player,,1 - 2,4,15 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,4,First Player,Second Player,First Player,1 - 3,1,0 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,4,First Player,Second Player,First Player,1 - 3,2,15 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,4,First Player,Second Player,First Player,1 - 3,3,30 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,4,First Player,Second Player,First Player,1 - 3,4,30 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,4,First Player,Second Player,First Player,1 - 3,5,30 - 40,First Play,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,5,Second Player,Second Player,,1 - 4,1,15 - 0,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,5,Second Player,Second Player,,1 - 4,2,15 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,5,Second Player,Second Player,,1 - 4,3,15 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,5,Second Player,Second Player,,1 - 4,4,15 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,6,First Player,First Player,,2 - 4,1,0 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,6,First Player,First Player,,2 - 4,2,0 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,6,First Player,First Player,,2 - 4,3,15 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,6,First Player,First Player,,2 - 4,4,30 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,6,First Player,First Player,,2 - 4,5,40 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,7,Second Player,Second Player,,2 - 5,1,15 - 0,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,7,Second Player,Second Player,,2 - 5,2,15 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,7,Second Player,Second Player,,2 - 5,3,30 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,7,Second Player,Second Player,,2 - 5,4,30 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,7,Second Player,Second Player,,2 - 5,5,30 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,7,Second Player,Second Player,,2 - 5,6,40 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,7,Second Player,Second Player,,2 - 5,7,A - 40,First Play,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,7,Second Player,Second Player,,2 - 5,8,40 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,7,Second Player,Second Player,,2 - 5,9,40 - A,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,7,Second Player,Second Player,,2 - 5,10,40 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,7,Second Player,Second Player,,2 - 5,11,40 - A,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,8,First Player,First Player,,3 - 5,1,15 - 0,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,8,First Player,First Player,,3 - 5,2,30 - 0,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,8,First Player,First Player,,3 - 5,3,30 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,8,First Player,First Player,,3 - 5,4,30 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,8,First Player,First Player,,3 - 5,5,40 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,8,First Player,First Player,,3 - 5,6,40 - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,8,First Player,First Player,,3 - 5,7,A - 40,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,9,Second Player,Second Player,,3 - 6,1,0 - 15,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,9,Second Player,Second Player,,3 - 6,2,0 - 30,,,,2026-01-16 19:59:19
12097066,2026-01-16,Set 2,9,Second Player,Second Player,,3 - 6,3,0 - 40,,First Play,First Play,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,1,Second Player,Second Player,,0 - 1,1,0 - 15,,,,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,1,Second Player,Second Player,,0 - 1,2,0 - 30,,,,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,1,Second Player,Second Player,,0 - 1,3,15 - 30,,,,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,1,Second Player,Second Player,,0 - 1,4,15 - 40,,,,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,2,First Player,Second Player,First Player,0 - 2,1,0 - 15,,,,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,2,First Player,Second Player,First Player,0 - 2,2,0 - 30,,,,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,2,First Player,Second Player,First Player,0 - 2,3,0 - 40,First Play,,,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,3,Second Player,Second Player,,0 - 3,1,0 - 15,,,,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,3,Second Player,Second Player,,0 - 3,2,0 - 30,,,,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,3,Second Player,Second Player,,0 - 3,3,0 - 40,,,,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,3,Second Player,Second Player,,0 - 3,4,15 - 40,,,,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,3,Second Player,Second Player,,0 - 3,5,30 - 40,,,,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,3,Second Player,Second Player,,0 - 3,6,40 - 40,,,,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,3,Second Player,Second Player,,0 - 3,7,40 - A,,,,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,4,First Player,First Player,,1 - 3,1,15 - 0,,,,2026-01-16 19:59:19
12097067,2026-01-16,Set 1,4,First Player,First Player,,1 - 3,2,15 - 15,,,,2026-01-16 19:59:19
